id,distance_from_goal,angle_from_goal,angle_from_shot_location_on_goal,dif_goal_centre_from_goal_loc,goal_y,saved,power
192,9.75,22.6198654174805,27.8240966796875,1,3,1,0
193,79.2022705078125,24.6235656738281,27.8240966796875,5,2,1,3
194,79.2022705078125,24.6235656738281,29.0546035766602,7,3,1,3
195,18.75,36.8698959350586,8.53076553344727,9,3,1,0
196,15.4616460800171,14.0362434387207,40.3645362854004,9,3,0,3
197,36.5999984741211,10.3888578414917,17.8600940704346,5,4,1,2
198,14.4070291519165,51.3401908874512,61.0202941894531,5,3,0,1
199,15.4616460800171,14.0362434387207,-4.76364183425903,5,1,0,2
200,31.1133403778076,39.522632598877,20.136302947998,11,3,0,2
201,15.4616460800171,14.0362434387207,24.2277450561523,3,4,1,1
202,36.5999984741211,10.3888578414917,17.8600940704346,5,2,0,3
203,72.8354339599609,8.686354637146,15.5241107940674,9,4,0,2
204,40.8044128417969,53.9726257324219,56.3099327087402,3,2,0,2
205,9.75,22.6198654174805,16.9908237457275,1,2,0,3
206,68.4762725830078,28.8107929229736,28.0724868774414,1,2,1,3
207,36.5999984741211,10.3888578414917,23.4286918640137,9,4,0,1
208,61,10.3888578414917,7.59464359283447,3,3,1,2
209,24.890962600708,15.3762512207031,-0.954841256141663,7,4,0,2
210,15.4616460800171,14.0362434387207,35.6279067993164,7,4,0,2
211,36.5999984741211,10.3888578414917,17.8600940704346,5,3,0,3
212,36.5999984741211,10.3888578414917,-0.636593580245972,7,4,0,3
213,36.5999984741211,10.3888578414917,-0.636593580245972,7,2,0,3
214,79.2022705078125,24.6235656738281,29.0546035766602,7,4,1,2
215,24.890962600708,15.3762512207031,17.5712585449219,1,1,1,2
216,152.315460205078,66.8014068603516,68.3295516967773,11,4,1,1
217,72.8354339599609,8.686354637146,11.0035409927368,3,2,1,4
218,68.4762725830078,28.8107929229736,30.9637565612793,3,4,1,3
219,48.8364601135254,42.5104484558105,41.6335411071777,1,4,1,2
220,24.890962600708,15.3762512207031,8.53076553344727,3,2,1,2
221,48.8364601135254,42.5104484558105,45,3,4,1,2
222,68.4762725830078,28.8107929229736,26.5650520324707,3,4,1,2
223,66.6216201782227,43.9053077697754,36.2538375854492,11,4,1,1
224,48.4516258239746,7.82907629013062,1.90915238857269,5,3,1,2
225,48.8364601135254,42.5104484558105,41.6335411071777,1,4,1,2
226,67.6830825805664,77.1957321166992,78.9765472412109,11,4,1,1
227,20.7981376647949,64.3589935302734,72.0308609008789,9,4,0,3
228,48.8364601135254,42.5104484558105,43.3634223937988,1,3,1,2
229,96.6281509399414,6.53663349151611,8.29714488983154,3,2,1,3
230,24.890962600708,15.3762512207031,3.81407475471497,5,1,0,2
231,61,10.3888578414917,0,11,2,0,2
232,24.890962600708,15.3762512207031,33.023868560791,9,4,0,2
233,84.7171783447266,7.46056604385376,9.46232223510742,3,2,1,2
234,31.1133403778076,39.522632598877,48.154842376709,7,2,0,2
235,41.085765838623,28.8107929229736,40.5488243103027,11,4,0,2
236,40.8044128417969,53.9726257324219,56.3099327087402,3,4,1,3
237,24.890962600708,15.3762512207031,33.023868560791,9,4,0,2
238,36.5999984741211,10.3888578414917,5.71059322357178,3,2,0,2
239,24.890962600708,15.3762512207031,21.8014087677002,3,2,0,2
240,48.4516258239746,7.82907629013062,11.3099327087402,3,4,1,2
241,40.8044128417969,53.9726257324219,53.1301040649414,1,2,0,4
242,72.8354339599609,8.686354637146,6.34019184112549,3,1,1,2
243,24.890962600708,15.3762512207031,13.1340227127075,1,1,1,1
244,61,10.3888578414917,0,11,2,0,2
245,14.4070291519165,51.3401908874512,66.0375137329102,9,2,0,1
246,41.085765838623,28.8107929229736,34.5625228881836,5,1,1,2
247,18.75,36.8698959350586,43.5312004089355,3,3,0,3
248,18.75,36.8698959350586,28.8107929229736,3,2,1,2
249,68.4762725830078,28.8107929229736,36.2538375854492,11,4,0,4
250,84.7171783447266,7.46056604385376,14.6763935089111,11,1,0,2
251,61,10.3888578414917,3.81407475471497,7,4,0,2
252,72.8354339599609,8.686354637146,12.5288076400757,5,4,1,2
253,40.8044128417969,53.9726257324219,57.7243537902832,5,3,1,2
254,36.5999984741211,10.3888578414917,20.6954498291016,7,3,0,2
255,51.9234046936035,22.4161472320557,27.3238906860352,5,4,0,2
256,48.8364601135254,42.5104484558105,35.8376541137695,7,2,0,2
257,48.4516258239746,7.82907629013062,6.65442514419556,1,4,1,2
258,68.4762725830078,28.8107929229736,34.9920196533203,9,2,0,3
259,48.8364601135254,42.5104484558105,33.6900672912598,9,2,0,3
260,24.890962600708,15.3762512207031,25.7960262298584,5,2,1,0
